Title,Media URL,Pinterest board,Description,Link,Publish date,Keywords
Your scale is lying to you.,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Fitness_Tracker/pins/pin_fitness_01.png,Fitness & Nutrition,"Daily weight swings 1-2% from water. This spreadsheet reads your 7-day trend and tells you when to cut, hold or add calories back. #fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep",https://jeiriz.gumroad.com/l/cajakq,,#fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep
A spreadsheet that coaches you back,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Fitness_Tracker/pins/pin_fitness_02.png,Fitness & Nutrition,"TDEE + macros, weight-trend engine and an RIR workout log that flags PRs - all wired together so it tells you what to do next. #fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep",https://jeiriz.gumroad.com/l/cajakq,,#fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep
Most fitness templates just store numbers. This one thinks.,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Fitness_Tracker/pins/pin_fitness_03.png,Fitness & Nutrition,"Built by a lifter who codes. Cut, maintain or bulk. Metric & Imperial. #fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep",https://jeiriz.gumroad.com/l/cajakq,,#fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep
TDEE Macro Calculator + Weight Trend Tracker,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Fitness_Tracker/pins/pin_fitness_04.png,Fitness & Nutrition,"Fill in 8 cells, get your calories and macros, then let it coach you off your real weekly trend. Excel + Google Sheets. #fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep",https://jeiriz.gumroad.com/l/cajakq,,#fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep
Stop quitting your diet over water weight.,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Fitness_Tracker/pins/pin_fitness_05.png,Fitness & Nutrition,A 7-day moving average filters the daily noise so you see your real direction - and the coach tells you what to change. #fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep,https://jeiriz.gumroad.com/l/cajakq,,#fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep
"Track strength, not soreness.",https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Fitness_Tracker/pins/pin_fit_log_01.png,Fitness & Nutrition,Log your sets with RIR; the sheet converts each to an estimated 1RM (Epley) and flags new PRs automatically. #fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep,https://jeiriz.gumroad.com/l/cajakq,,#fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep
Is your cut actually working?,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Fitness_Tracker/pins/pin_fit_log_02.png,Fitness & Nutrition,Strength holding while the scale drops = you're keeping muscle. The workout log shows it set by set. #fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep,https://jeiriz.gumroad.com/l/cajakq,,#fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep
"Progressive overload, done for you.",https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Fitness_Tracker/pins/pin_fit_log_03.png,Fitness & Nutrition,"RIR-based logging with automatic e1RM and PR flags. Excel + Google Sheets, metric & imperial. #fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep",https://jeiriz.gumroad.com/l/cajakq,,#fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep
Fill in 8 cells. Get your macros.,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Fitness_Tracker/pins/pin_fit_calc_01.png,Fitness & Nutrition,"TDEE, calories, protein, fat and carbs - Mifflin-St Jeor, 5 activity levels, cut/maintain/bulk presets. Metric or Imperial. #fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep",https://jeiriz.gumroad.com/l/cajakq,,#fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep
Stop guessing your calories.,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Fitness_Tracker/pins/pin_fit_calc_02.png,Fitness & Nutrition,A real TDEE + macro calculator wired into a weight-trend tracker and a workout log. Built by a lifter who codes. #fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep,https://jeiriz.gumroad.com/l/cajakq,,#fitnesstracker #macrocalculator #tdee #weightloss #googlesheets #mealprep
Your stream alerts sound like a toy keyboard.,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Guitar_SFX_Pack/pins/pin_sfx_01.png,Stream Setup / Twitch,"Mine sound like a real guitar - through a boutique overdrive and a germanium fuzz. 6 riffs for follows, donations and raids. #twitch #twitchalerts #streamer #obs #streaming #guitar",https://riffstream.itch.io/real-guitar-stream-alerts-boutique-tone-sfx-vol-1,,#twitch #twitchalerts #streamer #obs #streaming #guitar
Real guitar stream alerts (not synth presets),https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Guitar_SFX_Pack/pins/pin_sfx_02.png,Stream Setup / Twitch,"Clean for follows, crunch for donos, fuzz for raids. Works with Streamlabs, StreamElements and OBS. #twitch #twitchalerts #streamer #obs #streaming #guitar",https://riffstream.itch.io/real-guitar-stream-alerts-boutique-tone-sfx-vol-1,,#twitch #twitchalerts #streamer #obs #streaming #guitar
3 tones for 3 stream moments,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Guitar_SFX_Pack/pins/pin_sfx_03.png,Stream Setup / Twitch,"Clean . Overdrive . Fuzz - played on a real rig. Zero presets, zero stock-audio farm. Made by a guitarist who streams. #twitch #twitchalerts #streamer #obs #streaming #guitar",https://riffstream.itch.io/real-guitar-stream-alerts-boutique-tone-sfx-vol-1,,#twitch #twitchalerts #streamer #obs #streaming #guitar
Make your raid feel epic.,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Guitar_SFX_Pack/pins/pin_sfx_04.png,Stream Setup / Twitch,"A real-guitar fuzz riff for the moment your stream gets raided. Hand-played, not a sample. Pay what you want on itch. #twitch #twitchalerts #streamer #obs #streaming #guitar",https://riffstream.itch.io/real-guitar-stream-alerts-boutique-tone-sfx-vol-1,,#twitch #twitchalerts #streamer #obs #streaming #guitar
The tone you can't fake with presets.,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Guitar_SFX_Pack/pins/pin_sfx_05.png,Stream Setup / Twitch,"Boutique Artemis overdrive + germanium fuzz. If your stream has any rock, metal or punk in it, these alerts fit. #twitch #twitchalerts #streamer #obs #streaming #guitar",https://riffstream.itch.io/real-guitar-stream-alerts-boutique-tone-sfx-vol-1,,#twitch #twitchalerts #streamer #obs #streaming #guitar
Stop using the same alert as everyone else.,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Guitar_SFX_Pack/pins/pin_sfx_06.png,Stream Setup / Twitch,"6 stream alert riffs on a real electric guitar. Follows, donations, raids. MP3, normalized, Streamlabs & OBS ready. #twitch #twitchalerts #streamer #obs #streaming #guitar",https://riffstream.itch.io/real-guitar-stream-alerts-boutique-tone-sfx-vol-1,,#twitch #twitchalerts #streamer #obs #streaming #guitar
From a guitarist who streams.,https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Guitar_SFX_Pack/pins/pin_sfx_07.png,Stream Setup / Twitch,"Every take played, picked and mixed by hand - not a stock-audio farm. Real strings, real pedals, zero presets. #twitch #twitchalerts #streamer #obs #streaming #guitar",https://riffstream.itch.io/real-guitar-stream-alerts-boutique-tone-sfx-vol-1,,#twitch #twitchalerts #streamer #obs #streaming #guitar
"Your raid alert, but it's an actual guitar.",https://raw.githubusercontent.com/juancruzeiriz/nicho/master/products/Guitar_SFX_Pack/pins/pin_sfx_08.png,Stream Setup / Twitch,"Full-chaos fuzz for raids and hype trains. Clean and overdrive too. Vol. 1, pay what you want. #twitch #twitchalerts #streamer #obs #streaming #guitar",https://riffstream.itch.io/real-guitar-stream-alerts-boutique-tone-sfx-vol-1,,#twitch #twitchalerts #streamer #obs #streaming #guitar
